MPS Current Set,Current B,Target B,Target MPS Set
20518.3456790123,-0.082355,-0.1594,40962.6419753086
20518.3456790123,-0.082355,-0.236625,61332.8888888889
20518.3456790123,-0.082355,-0.313785,81629.0864197531
20518.3456790123,-0.082355,-0.39086,101851.234567901
20518.3456790123,-0.082355,-0.467355,121999.333333333
20518.3456790123,-0.082355,-0.54297,142073.382716049
20518.3456790123,-0.082355,-0.61798,162073.382716049
20518.3456790123,-0.082355,-0.69227,181999.333333333
20518.3456790123,-0.082355,-0.76581,201851.234567901
20518.3456790123,-0.082355,-0.83875,221629.086419753
20518.3456790123,-0.082355,-0.910935,241332.888888889
20518.3456790123,-0.082355,-0.982745,260962.641975309
20518.3456790123,-0.082355,-1.054295,280518.345679012
20518.3456790123,-0.082355,-1.12522,300000
40962.6419753086,-0.1594,-0.236625,61332.8888888889
40962.6419753086,-0.1594,-0.313785,81629.0864197531
40962.6419753086,-0.1594,-0.39086,101851.234567901
40962.6419753086,-0.1594,-0.467355,121999.333333333
40962.6419753086,-0.1594,-0.54297,142073.382716049
40962.6419753086,-0.1594,-0.61798,162073.382716049
40962.6419753086,-0.1594,-0.69227,181999.333333333
40962.6419753086,-0.1594,-0.76581,201851.234567901
40962.6419753086,-0.1594,-0.83875,221629.086419753
40962.6419753086,-0.1594,-0.910935,241332.888888889
40962.6419753086,-0.1594,-0.982745,260962.641975309
40962.6419753086,-0.1594,-1.054295,280518.345679012
40962.6419753086,-0.1594,-1.12522,300000
61332.8888888889,-0.236625,-0.313785,81629.0864197531
61332.8888888889,-0.236625,-0.39086,101851.234567901
61332.8888888889,-0.236625,-0.467355,121999.333333333
61332.8888888889,-0.236625,-0.54297,142073.382716049
61332.8888888889,-0.236625,-0.61798,162073.382716049
61332.8888888889,-0.236625,-0.69227,181999.333333333
61332.8888888889,-0.236625,-0.76581,201851.234567901
61332.8888888889,-0.236625,-0.83875,221629.086419753
61332.8888888889,-0.236625,-0.910935,241332.888888889
61332.8888888889,-0.236625,-0.982745,260962.641975309
61332.8888888889,-0.236625,-1.054295,280518.345679012
61332.8888888889,-0.236625,-1.12522,300000
81629.0864197531,-0.313785,-0.39086,101851.234567901
81629.0864197531,-0.313785,-0.467355,121999.333333333
81629.0864197531,-0.313785,-0.54297,142073.382716049
81629.0864197531,-0.313785,-0.61798,162073.382716049
81629.0864197531,-0.313785,-0.69227,181999.333333333
81629.0864197531,-0.313785,-0.76581,201851.234567901
81629.0864197531,-0.313785,-0.83875,221629.086419753
81629.0864197531,-0.313785,-0.910935,241332.888888889
81629.0864197531,-0.313785,-0.982745,260962.641975309
81629.0864197531,-0.313785,-1.054295,280518.345679012
81629.0864197531,-0.313785,-1.12522,300000
101851.234567901,-0.39086,-0.467355,121999.333333333
101851.234567901,-0.39086,-0.54297,142073.382716049
101851.234567901,-0.39086,-0.61798,162073.382716049
101851.234567901,-0.39086,-0.69227,181999.333333333
101851.234567901,-0.39086,-0.76581,201851.234567901
101851.234567901,-0.39086,-0.83875,221629.086419753
101851.234567901,-0.39086,-0.910935,241332.888888889
101851.234567901,-0.39086,-0.982745,260962.641975309
101851.234567901,-0.39086,-1.054295,280518.345679012
101851.234567901,-0.39086,-1.12522,300000
121999.333333333,-0.467355,-0.54297,142073.382716049
121999.333333333,-0.467355,-0.61798,162073.382716049
121999.333333333,-0.467355,-0.69227,181999.333333333
121999.333333333,-0.467355,-0.76581,201851.234567901
